defined_class,defined_class_label,var1,var1_label,acs_var_id,acs_label,acs_concept,,,
SRPDIO:2010118,,SRPDIO:1001006,computing device status,B28001_001E,Estimate!!Total,TYPES OF COMPUTERS IN HOUSEHOLD,,,
SRPDIO:2010119,,SRPDIO:1001112,has one or more types of computing devices,B28001_002E,Estimate!!Total!!Has one or more types of computing devices,TYPES OF COMPUTERS IN HOUSEHOLD,,,
SRPDIO:2010120,,SRPDIO:1001045,desktop or laptop computer in household,B28001_003E,Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop,TYPES OF COMPUTERS IN HOUSEHOLD,,,
SRPDIO:2010121,,SRPDIO:1001046,desktop or laptop with no other type of computing device,B28001_004E,Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device,TYPES OF COMPUTERS IN HOUSEHOLD,,,
SRPDIO:2010122,,SRPDIO:1001047,smartphone in household,B28001_005E,Estimate!!Total!!Has one or more types of computing devices!!Smartphone,TYPES OF COMPUTERS IN HOUSEHOLD,,,
SRPDIO:2010123,,SRPDIO:1001048,smartphone with no other type of computing device,B28001_006E,Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device,TYPES OF COMPUTERS IN HOUSEHOLD,,,
SRPDIO:2010124,,SRPDIO:1001049,tablet or other portable wireless computer in household,B28001_007E,Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer,TYPES OF COMPUTERS IN HOUSEHOLD,,,
SRPDIO:2010125,,SRPDIO:1001050,tablet or other portable wireless computer with no other type of computing device,B28001_008E,Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device,TYPES OF COMPUTERS IN HOUSEHOLD,,,
SRPDIO:2010126,,SRPDIO:1001051,other computer in household,B28001_009E,Estimate!!Total!!Has one or more types of computing devices!!Other computer,TYPES OF COMPUTERS IN HOUSEHOLD,,,
SRPDIO:2010127,,SRPDIO:1001052,other computer with no other type of computing device,B28001_010E,Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device,TYPES OF COMPUTERS IN HOUSEHOLD,,,
SRPDIO:2010128,,SRPDIO:1001113,no computer,B28001_011E,Estimate!!Total!!No Computer,TYPES OF COMPUTERS IN HOUSEHOLD,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,